"Drum Machine","Duration","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"Casio Rapman","0.208253968253968","16.9270095825195","5.98453453292301","0.105950854718685","2563.41918945312","2409.71704101562","3574.86059570312","0.721115171909332","0.521783232688904"
"Casio Rapman-II","0.2546938775510203","7.919322530428556","-1.2648005237601234","0.13129455844561264","2548.08524576823","2340.6735432942737","2683.9369506835933","0.663336952527364","0.5434704422950746"
"Casio RZ-1 Rhythm Composer","0.22494331065759648","19.21410846710205","6.18945969901481","0.12100861966609966","2248.08319091797","2589.93872070312","2118.583312988285","1.2629657685756697","0.7040216624736785"
"Casio SA-10","0.1872108843537415","20.4014534950256","7.9729139810404845","0.09888613596558572","1623.48406982422","1625.5569763183576","1541.9271850585951","2.26521500945091","0.579852893948555"
"Casio SK-1","0.0936054421768708","5.76514673233032","2.56188192529371","0.0473586395382881","2748.91479492188","2740.04833984375","2915.78662109375","2.80849647521973","0.489779412746429"
"Casio SK5","0.0667573696145125","10.8153772354126","8.10532058295581","0.0370243303477764","1581.98559570312","1670.25756835938","1521.16040039062","2.85767698287964","0.906505823135376"
"Casio VL-1 VL-Tone Keyboard Calculator","0.185034013605442","8.655049324035645","2.16370446869226","0.0960714854300022","4038.6968994140598","4036.01928710937","4055.34301757812","1.8933427929878248","0.2245173677802085"
"Chaser PR-80","0.167619047619048","5.90520048141479","0.101179925038711","0.0864748582243919","1496.57250976562","1147.14831542969","4236.81640625","1.80636978149414","0.811071038246155"
"Cheetah MD-16","0.27752683295540465","15.053729979197184","3.781271537180151","0.14110528677701936","2726.1951660156246","2229.531998697917","3453.831608072917","1.9441505908966075","0.47252588967482245"
"Cheetah_SpecDrum","0.16181405895691633","3.5856100718180337","-3.1576008573359897","0.08579403162002563","3140.03597005208","2659.853678385413","3425.1057942708335","4.34513282775879","0.4456611772378287"
"Denon_CRB-90","0.1139229024943309","7.82262682914734","3.61481760457126","0.06131011247634885","2684.40502929688","2599.6630859375","3661.6239013671902","3.0666584968566903","0.5891982913017271"
"Doepfer MS-404","0.489795918367347","4.7712836265564","-5.93781862611049","0.239218086004257","1985.0712890625","1780.72985839844","2121.12915039062","2.90147519111633","0.244412064552307"
"DrBöhm_S-78","0.198095238095238","3.59014940261841","-3.85002978408759","0.104773879051208","3757.10009765625","3558.15087890625","4249.7880859375","1.72004091739655","0.39247339963913"
"Drumfire_DF-500","0.6908742756361805","25.155900637308758","3.0948286561623988","0.35216433803240454","3764.04988606771","2787.4673800998253","2048.0368109809037","2.2183517018953958","0.33622139319777483"
"E-MU Drumulator","0.22841866571189898","18.60130919908223","6.42603418641981","0.11993707677251403","2293.500218441612","2047.4065102025081","2799.3818776983962","1.5419110710683621","0.6359244443868337"
"E-MU E-Drum","0.275736961451247","12.952619234720899","3.1027871308287103","0.14088539034128186","2049.0194498697897","2004.5556233723964","2424.0975748697933","1.6062932610511786","0.6525908708572387"
"E-MU Procussion","0.40034632034632023","35.95512945001776","8.105789273851967","0.20341265743429018","2526.6346546519894","2342.767666903409","2415.97978071733","0.815818548202514","0.3932991407134318"
"E-MU Proteus","0.461496598639456","15.0413360595703","1.76320293261731","0.228332594037056","2067.96899414062","1972.18090820312","1834.82556152344","1.05804288387299","0.259557515382767"
"E-MU Proteus1","0.6300831443688587","14.580292065938332","0.3008307750969433","0.309878592689832","2073.0790608723964","2516.3133138020835","976.4926859537767","2.5510463714599587","0.285155857602755"
"E-MU Proteus3","0.38796674225245664","20.46565818786617","4.39038171680511","0.193793038527171","2250.075439453123","1672.6055501302064","2525.387695312503","1.7963724732398993","0.506835420926412"
"E-MU SP-12","0.30634642972835396","21.356153390845474","5.7673811485145245","0.15442876761056945","2920.898788763552","2689.3577731385517","2929.893564652423","1.1683839376141527","0.40761254636608824"
"E-MU SP-1200 Percussion","0.14149659863945566","21.480864842732768","9.14404762770304","0.0774152303735415","1583.8669840494802","1288.7209879557302","2204.0913899739603","1.2302874773740766","0.7426720062891644"
"E-MU Xtreme Lead-1 Techno","0.6094811257836473","13.750981134526869","0.8129934798115335","0.28183662694166683","3197.327536190256","2870.58884564568","2873.9432516659012","3.3347440695061406","0.2792465152109371"
