Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
74,Akai XR-10,0.549297052,19.23463249,2.616432841,0.263307124,2684.87793,2356.187744,2286.566162,1.650701046,0.315440238
75,Akai XR-10,0.384580499,11.04049397,0.567759924,0.187979132,2533.11084,2452.205322,1270.353027,2.693023682,0.446691543
76,Akai XR-10,0.104489796,7.811382771,3.967007438,0.054869004,3468.401855,3482.090332,3471.467529,0.935570121,0.513827443
77,Akai XR-10,0.325079365,13.61471462,2.656053157,0.160790071,1996.251709,1827.913208,3869.660889,1.07880044,0.769519627
78,Akai XR-10,0.436099773,14.57671261,1.810841039,0.211820215,2583.202637,2412.64502,2818.683838,1.255053759,0.404403865
79,Akai XR-10,0.30185941,12.52466679,2.419971909,0.154212996,2654.821777,2542.970215,2600.206787,1.326231241,0.177929804
90,Akai XR-10,0.231473923,10.28401947,2.295336962,0.117532261,3636.014893,3605.094971,3582.009521,2.778267622,0.258280009
91,Akai XR-10,0.303310658,10.50749588,1.261153689,0.156501129,2757.536377,2667.73877,2743.836914,1.690694332,0.15458174
92,Akai XR-10,0.382403628,16.25091934,3.081033645,0.19134289,2730.303467,2605.112305,1854.792725,1.508682013,0.267836213
93,Akai XR-10,0.305487528,27.32830429,7.425494441,0.157837123,2151.998291,2366.393799,2233.604004,-0.032277502,0.727283061
94,Akai XR-10,0.449886621,42.18846512,8.559040664,0.226208657,3489.827881,3377.15625,3573.110107,2.558862686,0.291004926
95,Akai XR-10,0.62984127,12.04500675,-1.027413869,0.300671458,2793.914307,2451.908691,2436.835205,2.543134689,0.292595118
96,Akai XR-10,0.433922902,6.764658928,-3.148947079,0.211897984,2650.838135,2571.950684,1559.051147,3.877856255,0.429548323
97,Akai XR-10,0.113197279,7.030398369,3.002324757,0.059325423,3498.958496,3510.021729,3517.585449,1.230666518,0.504035652
98,Akai XR-10,0.355555556,8.486902237,-0.813697344,0.176114172,2166.146729,2037.403442,3905.619141,1.653865099,0.689940095
99,Akai XR-10,0.557278912,8.627384186,-2.658930991,0.26774168,2690.697266,2485.563477,3050.445557,1.881459117,0.286266088
102,Alesis D4 fx,0.249614512,24.07544136,7.512541807,0.130062208,2473.551758,2921.092529,2000.673828,4.354966164,0.256552547
103,Alesis D4 fx,0.61968254,7.546843052,-3.987268528,0.295702487,1757.322144,1153.779053,2718.485596,2.148948669,0.593625307
104,Alesis D4 fx,0.631292517,10.6097374,-1.859833306,0.303435713,2598.902588,2675.148193,1743.356323,0.99606055,0.2088947
105,Alesis D4 fx,0.559455782,10.9800806,-1.112782685,0.270239353,2824.595703,2543.993408,2045.730835,0.112485625,0.323540449
106,Alesis D4 fx,0.75537415,12.73562431,-1.451159316,0.361219972,2552.813721,2760.491699,1855.697266,1.511770487,0.130784452
107,Alesis D4 fx,0.692970522,12.17876625,-1.370664185,0.330475181,2957.181396,3033.430176,2665.59082,-0.080270186,0.236666545
108,Alesis D4 fx,1.009342404,7.155758381,-6.450881488,0.459346414,2308.483154,1947.752686,2024.452759,0.85294193,0.264309913
109,Alesis D4 fx,0.953469388,13.73867321,-1.975368066,0.440387815,2923.617432,3009.775635,2242.904297,0.632881224,0.148413494
