Index,Drum Machine,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
3358,Yamaha RM 50,0.168344671,1.82518661,-7.4742806,0.084840208,2269.179932,2481.302002,628.5384521,8.917651176,0.752404451
3359,Yamaha RM 50,0.362086168,1.282816887,-13.12283043,0.177973703,1328.9729,1588.206543,242.3314972,13.0424242,0.853319287
3360,Yamaha RM 50,0.127709751,2.388739824,-4.528601959,0.064550303,2355.339844,2569.921143,227.5635834,10.60928917,0.735167384
3361,Yamaha RM 50,0.322902494,1.444938302,-11.84698659,0.159004018,1562.845093,1904.250854,256.0139771,15.42640591,0.719902575
3362,Yamaha RM 50,0.322176871,1.909003258,-10.05634979,0.158108696,2719.135254,2892.231445,634.8908691,7.582253456,0.644234121
3363,Yamaha RM 50,0.240907029,1.897728562,-8.813453508,0.119383067,2596.974365,2716.29248,238.4019775,14.35750771,0.604732454
3364,Yamaha RM 50,0.36861678,1.466396093,-12.33997216,0.182130367,1760.206909,2234.239258,198.5100708,13.21844578,0.743204415
3365,Yamaha RM 50,0.266303855,1.160295486,-12.42692947,0.132692441,1379.751221,1556.545288,307.5583496,16.18733215,0.830476761
3366,Yamaha RM 50,0.195918367,1.896708131,-7.890531741,0.099636309,1474.587769,1721.506836,271.8221436,15.21178341,0.898182273
3367,Yamaha RM 50,0.21260771,2.139307499,-7.480343902,0.108359598,1548.982544,1743.423584,584.4711914,5.175638199,0.805882573
3368,Yamaha RM 50,0.161814059,2.015069008,-6.666109838,0.0822061,2021.685059,2267.220459,240.96521,11.47627354,0.775179029
3369,Yamaha RM 50,0.179954649,1.515519381,-8.979232091,0.091759622,1488.207642,1773.450195,617.3083496,5.962633133,0.877785265
3370,Yamaha RM 50,0.318548753,0.64552629,-17.02489127,0.157662824,762.9539795,851.0773315,249.0200653,17.62231636,0.923387647
3371,Yamaha RM 50,0.258321995,1.982634187,-8.831839456,0.128596976,1269.843628,1440.609619,275.8809204,17.79511261,0.898463368
3372,Yamaha RM 50,0.175600907,1.504970074,-8.961587919,0.089866661,1578.996826,1720.396606,730.1618652,4.902852535,0.860933483
3373,Yamaha RM 50,0.305487528,1.695827484,-10.56895759,0.151684731,1220.22583,1560.254395,201.5064697,18.44348145,0.854863763
3374,Yamaha RM 50,0.477460317,1.462751031,-13.47416192,0.231037319,1599.719849,1745.630249,206.5157776,14.8812027,0.742210686
3375,Yamaha RM 50,0.404172336,1.441344261,-12.84301235,0.198786795,811.5551758,1062.744873,199.4737396,17.47662926,0.896410406
3376,Yamaha RM 50,0.492698413,1.313877225,-14.31648738,0.237543657,845.6590576,1011.618591,222.756897,14.64863205,0.853996098
3377,Yamaha RM 50,0.198095238,1.389832139,-9.963577466,0.100207523,1573.644653,1805.949585,199.3446808,15.73255539,0.832165122
3378,Yamaha RM 50,0.409251701,1.980333447,-10.838232,0.198841408,2260.662842,2583.469727,530.8938599,6.067407131,0.550571024
3379,Yamaha RM 50,0.502857143,1.112264514,-15.47562893,0.241526768,2320.548584,2833.771729,503.6672974,8.027965546,0.538963854
3380,Yamaha RM 50,0.492698413,2.604962349,-9.868745916,0.238731444,2341.473633,3073.427002,1015.808838,2.684294462,0.627416611
3381,Yamaha RM 50,0.607346939,2.524908543,-10.99579322,0.288113624,2671.738037,3005.915283,506.4101257,5.601480961,0.455235064
3382,Yamaha RM 50,0.305487528,2.214023352,-8.839942902,0.150309712,1956.509766,2134.628906,588.4990234,5.828145504,0.785271823
3383,Yamaha RM 50,0.559455782,1.637816787,-13.43034704,0.266729385,2370.126465,2785.091309,499.1657104,7.999397278,0.512147486
3384,Yamaha RM 50,0.453514739,1.454362512,-13.30451471,0.220341608,1831.833618,2351.528564,413.394989,7.827024937,0.676708817
3385,Yamaha RM 50,0.555827664,1.832323432,-12.67990394,0.266988367,2012.099854,2330.275635,457.3522644,9.655176163,0.661761284
3386,Yamaha RM 50,0.335963719,0.929304063,-14.89298983,0.165906519,2486.796631,2986.79248,904.2164917,6.005832672,0.621254742
3387,Yamaha RM 50,0.251791383,1.914745808,-8.947138487,0.12644425,1183.578979,1322.350586,467.2952576,6.759677887,0.888035655
3388,Yamaha RM 50,0.473106576,1.658741236,-12.62627664,0.231819451,522.9827271,736.5158691,208.3023987,19.7657032,0.903249919
3389,Yamaha RM 50,0.488344671,1.420422912,-13.77388072,0.236087143,1687.827759,2140.07373,290.4949036,8.781116486,0.731806576
3390,Yamaha RM 50,0.555102041,2.112768888,-11.76174166,0.26780194,1578.43689,2045.745483,636.5489502,7.330102921,0.754632652
3391,Yamaha RM 50,0.684988662,2.175694227,-12.48000735,0.32353729,1907.265015,2473.047363,1130.978271,3.634023666,0.662938476
3392,Yamaha RM 50,0.782222222,1.615841866,-14.98576891,0.365838319,1888.103149,2205.429932,1620.757813,3.169231892,0.591620386
3393,Yamaha RM 50,0.821405896,2.297400475,-12.91645809,0.383199006,1467.657227,1988.40979,776.6294556,5.657411575,0.664145529
