"Index","Drum Machine","Type","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"1058","E-MU Xtreme Lead-1 Techno","ki","0.0339411499596301","0.342055251633932","0.347241152137779","0.042615042489722","0.0494962887932167","0.29092682549234","0.00816116596556657","0.453834741332146"
"1059","E-MU Xtreme Lead-1 Techno","sn","0.212667621191489","0.684010470541001","0.350866296413712","0.547593120805728","0.366706394810799","0.287927814807022","0.00568709494733038","0.172339469968123"
"1060","E-MU Xtreme Lead-1 Techno","sn","0.0566377655058595","0.623888873719013","0.0857044308624758","0.422513705780853","0.437707376346177","0.441413910659604","0.00716858046600892","0.437571510705037"
"1061","E-MU Xtreme Lead-1 Techno","sn","0.0474860024054341","0.684288930673693","0.0425710471037753","0.659447231960396","0.645744113327592","0.67110817347991","0.00127058282165047","0.468041314830914"
"1062","E-MU Xtreme Lead-1 Techno","sn","0.0705096830830289","0.732138155667969","0.0509470782051573","0.306739849844562","0.257657724539972","0.27827755966018","0.00227554920514124","0.526923766295759"
"1063","E-MU Xtreme Lead-1 Techno","sn","0.058030504251006","0.439326740790826","0.351076810964192","0.540690929758438","0.531267594100283","0.389874655271337","0.005490265850154","0.200958507524851"
"1064","E-MU Xtreme Lead-1 Techno","sn","0.0734373173172804","0.744583868205364","0.0494596901414372","0.416808682421414","0.430118346913117","0.448953065431666","0.00267172984061587","0.380642505645322"
"1065","E-MU Xtreme Lead-1 Techno","sn","0.0682087876247158","0.468733248557075","0.353026610275898","0.654854522728643","0.646829628647933","0.399910219592395","0.00549246670189106","0.161481686272098"
"1066","E-MU Xtreme Lead-1 Techno","sn","0.0499161567259034","0.410928503530983","0.355942514287932","0.814367323173808","0.794867291124894","0.407861901884786","0.00562849627937936","0.0928277400694308"
"1067","E-MU Xtreme Lead-1 Techno","sn","0.0750373098583311","0.705913165502359","0.0693252018746992","0.527249129971631","0.538612185129056","0.23068506775423","0.00552512837993564","0.147670373930264"
"1068","E-MU Xtreme Lead-1 Techno","sn","0.103553485603821","0.724841849074838","0.097798505897038","0.559440562525093","0.577572670869473","0.434033107783545","0.00229815609188549","0.208643849664416"
"1069","E-MU Xtreme Lead-1 Techno","sn","0.0852199207065167","0.510251210920843","0.352418276841321","0.471692804619096","0.479984053741815","0.404288947352011","0.00577293444932059","0.236868438009384"
