Sample Id,Drum Machine,Dimension 1,Dimension 2,Dimension 3,Dimension 4
288,Alesis DM5,-2.043951931,-2.774880067,-0.316470862,1.668167441
289,Alesis DM5,-4.043185004,0.198186977,-0.819278457,2.144762042
290,Alesis DM5,-2.856283897,-1.625781373,-1.44543777,-0.476354073
291,Alesis DM5,-2.390880153,-1.909682863,-2.037284992,-2.017920484
292,Alesis DM5,5.27278565,-3.478121619,-2.721710064,3.716071994
293,Alesis DM5,0.896545496,-1.12467111,-5.256202215,-0.198170432
294,Alesis DM5,-4.232453429,0.226205959,-0.553397387,-0.319005101
295,Alesis DM5,-1.243987518,-2.054483101,-2.803781267,-0.605788072
296,Alesis DM5,-1.876788384,-4.521571547,0.878477295,-0.281960985
297,Alesis DM5,-1.016683703,1.018388975,-3.027947238,1.982413265
298,Alesis DM5,-1.179675508,-1.937231748,-2.872825447,-1.001106783
299,Alesis DM5,-0.789906365,-3.867841567,-2.847427268,-2.013734658
300,Alesis DM5,5.49427063,0.213923059,-4.726853171,4.719946191
301,Alesis DM5,-2.19773272,-1.238975841,-3.609941864,-2.265509929
302,Alesis DM5,-1.977952757,-1.81604971,-2.065463041,-1.250205307
303,Alesis DM5,-0.07596573,-2.353597592,-2.29782636,-1.02632649
304,Alesis DM5,-0.616922244,-1.271727771,-4.256269243,-1.896657494
305,Alesis DM5,-2.035784117,-3.56601436,-1.357377645,-2.095024288
306,Alesis DM5,-0.905562545,-0.185478755,-3.980381997,-0.042855206
307,Alesis DM5,-1.456531827,-2.595747492,-1.362804769,0.050187067
308,Alesis DM5,-0.144797409,-0.529529544,-1.894673388,-0.725571297
309,Alesis DM5,-2.498658107,0.122114354,-0.879503185,2.339933074
310,Alesis DM5,-0.626858059,-1.225971495,-2.818746793,-2.342696415
311,Alesis DM5,3.031773321,2.077357688,-3.845402398,1.435664104
312,Alesis DM5,-1.224914711,-3.41101079,-1.03729455,-0.758100799
313,Alesis DM5,-2.415647183,-0.675987805,-3.856864959,-1.838476919
314,Alesis DM5,-3.237395023,-0.922520649,-1.218803713,0.980222374
315,Alesis DM5,-0.831610294,-3.583281524,-1.202352565,0.130935881
316,Alesis DM5,-0.268836545,-0.562985079,-4.308474927,-0.152505021
317,Alesis DM5,-3.261305091,-0.614064415,-1.395591318,1.037415293
318,Alesis DM5,5.027631766,4.862595693,-2.530783945,5.03320897
319,Alesis DM5,-2.632340304,0.609413046,-2.348719895,1.189324567
320,Alesis DM5,-4.293749349,0.279637449,-0.641396358,1.950876431
321,Alesis DM5,2.041884133,-5.439446716,-2.663653989,0.458478659
322,Alesis DM5,-1.074478885,-5.465948744,-0.412565627,-1.142204838
323,Alesis DM5,-0.650858934,-4.055330532,-2.644296583,-2.423319293
326,Alesis HR 16B,-0.850814901,1.951077335,-3.297406043,-2.23733813
327,Alesis HR 16B,-2.726273934,1.76954558,0.803079448,-1.494771494
336,Alesis HR-16,-1.027318547,-0.400834675,1.146488537,-0.206441921
337,Alesis HR-16,9.994472954,-6.48133543,5.512093702,-0.792573609
338,Alesis HR-16,3.219644214,1.894133725,-0.426295436,0.368079369
339,Alesis HR-16,22.36648736,3.479586242,5.135882738,1.481301874
340,Alesis HR-16,-3.001790627,4.916235889,0.687961871,3.521986608
341,Alesis HR-16,-2.095741795,2.059072842,1.027656112,0.166456503
342,Alesis HR-16,-1.670496665,1.643598312,0.110912568,-2.889419191
343,Alesis HR-16,-0.822950906,1.96024459,-3.195166663,-1.986751979
344,Alesis HR-16,1.352487415,-1.413904785,0.487721679,0.549363977
345,Alesis HR-16,-1.223853482,-1.569417993,2.302468156,0.73023982
346,Alesis HR-16,-1.473002785,-4.259451177,2.95233055,0.891528995
347,Alesis HR-16,9.544520078,-12.20566002,9.022593522,0.574509158
354,Alesis HR-16,-2.460182605,-1.853119398,-1.109034845,0.246771428
355,Alesis HR-16,-0.539641927,0.685379865,-4.237458535,-0.339228438
356,Alesis HR-16,-3.690201456,2.709262374,-2.366690394,1.725512568
357,Alesis HR-16,-3.454998869,0.307665029,-1.731332518,0.316861891
358,Alesis HR-16,-3.612088475,0.590155352,-1.563698991,-1.63966032
359,Alesis HR-16,-1.2390773,0.081744377,-4.03320054,-0.874615042
360,Alesis HR-16,0.129004392,-3.665953991,-1.11677933,0.687303698
361,Alesis HR-16,-3.612016951,-1.434469928,0.05369879,0.85292758
362,Alesis HR-16,-1.751236393,-3.268891896,0.581681791,0.485341001
412,Alesis SR-16,1.617692615,0.562954684,-3.966270931,-1.972792772
