"Window Length","Window Start","HFC"
"100","100","10.7915229797363"
"250","20","8.03719425201416"
"250","50","6.59467697143555"
"250","100","4.55993270874023"
"500","20","7.86251020431519"
"500","50","6.45134687423706"
"500","100","4.55993604660034"
"0","0","162.377517700195"
"25","20","374.313262939453"
"25","50","282.277740478516"
"25","100","211.676040649414"
"100","20","269.613067626953"
"100","50","234.521774291992"
"100","100","145.55583190918"
"250","20","147.303588867188"
"250","50","132.217346191406"
"250","100","90.2409210205078"
"500","20","147.303588867188"
"500","50","132.217346191406"
"500","100","90.2409210205078"
"0","0","6.65996742248535"
"25","20","56.3123893737793"
"25","50","36.9611854553223"
"25","100","27.610631942749"
"100","20","17.2277355194092"
"100","50","14.5173196792603"
"100","100","12.7586870193481"
"250","20","7.40412044525146"
"250","50","6.26327514648438"
"250","100","5.39241886138916"
"500","20","6.53325080871582"
"500","50","5.63713216781616"
"500","100","4.85334300994873"
"0","0","4.20757675170898"
"25","20","33.7227783203125"
"25","50","37.0434646606445"
"25","100","25.2828521728516"
"100","20","12.7039976119995"
"100","50","12.9544677734375"
"100","100","8.72984409332275"
"250","20","5.48313760757446"
"250","50","5.52900505065918"
"250","100","3.75633883476257"
"500","20","3.62972211837769"
"500","50","3.66013431549072"
"500","100","2.56223273277283"
"0","0","3.65291452407837"
"25","20","44.4189758300781"
"25","50","38.5856132507324"
"25","100","22.4532794952393"
"100","20","16.7826881408691"
"100","50","12.8166275024414"
"100","100","8.31617641448975"
"250","20","7.12554311752319"
"250","50","5.45818710327148"
"250","100","3.53815889358521"
"500","20","3.64554667472839"
"500","50","2.7929208278656"
"500","100","1.85296523571014"
"0","0","3.94689583778381"
"25","20","27.7705612182617"
"25","50","34.4089393615723"
"25","100","21.2101364135742"
"100","20","15.3082132339478"
"100","50","13.0231151580811"
"100","100","8.91160488128662"
"250","20","6.96873998641968"
"250","50","6.01469039916992"
"250","100","4.20181465148926"
"500","20","3.58404135704041"
"500","50","3.09334087371826"
"500","100","2.163743019104"
"0","0","9.63377952575684"
"25","20","85.5509567260742"
"25","50","79.5764694213867"
"25","100","47.7129211425781"
"100","20","43.4318466186523"
"100","50","39.0521240234375"
"100","100","25.4085597991943"
"250","20","19.3965892791748"
"250","50","17.5397853851318"
"250","100","11.5377130508423"
"500","20","9.94949722290039"
"500","50","8.983078956604"
"500","100","5.90698099136353"
"0","0","5.64503860473633"
"25","20","42.3557014465332"
"25","50","46.0536956787109"
"25","100","31.2029514312744"
"100","20","15.7163467407227"
"100","50","15.9024753570557"
"100","100","10.7737455368042"
"250","20","6.7835578918457"
"250","50","6.78894662857056"
"250","100","4.63575077056885"
"500","20","5.00559663772583"
"500","50","5.00964307785034"
"500","100","3.53695201873779"
"0","0","10.6231307983398"
"25","20","54.8299598693848"
"25","50","47.5832405090332"
"25","100","28.1261196136475"
"100","20","20.7238368988037"
"100","50","15.8055648803711"
"100","100","10.3906755447388"
"250","20","10.6989412307739"
"250","50","8.18421363830566"
"250","100","5.67963027954102"
"500","20","10.6989412307739"
"500","50","8.18421363830566"
"500","100","5.67963027954102"
"0","0","6.03802585601807"
"25","20","34.3902931213379"
"25","50","42.8740653991699"
"25","100","26.1842746734619"
"100","20","18.9319725036621"
"100","50","16.0805721282959"
"100","100","10.9989576339722"
"250","20","8.61668109893799"
"250","50","7.4262580871582"
"250","100","5.18572282791138"
"500","20","5.41552305221558"
"500","50","4.73278999328613"
"500","100","3.35614681243896"
"0","0","12.9032440185547"
"25","20","69.5466384887695"
"25","50","45.581241607666"
"25","100","34.1171379089355"
"100","20","21.2715702056885"
"100","50","17.9131698608398"
"100","100","15.7560052871704"
"250","20","12.8550720214844"
"250","50","10.8669681549072"
"250","100","9.66566848754883"
"500","20","12.8550720214844"
"500","50","10.8669681549072"
"500","100","9.66566848754883"
"0","0","43.0938491821289"
"25","20","194.300277709961"
"25","50","148.988723754883"
"25","100","59.194766998291"
"100","20","74.3574905395508"
"100","50","58.1270027160645"
"100","100","23.129711151123"
"250","20","37.2803916931152"
"250","50","29.9593410491943"
"250","100","12.6270456314087"
"500","20","37.2803916931152"
"500","50","29.9593410491943"
"500","100","12.6270456314087"
"0","0","80.3261871337891"
"25","20","254.830688476562"
"25","50","148.546981811523"
"25","100","54.5543785095215"
"100","20","89.8176498413086"
"100","50","57.3896408081055"
"100","100","24.3997611999512"
"250","20","68.2928771972656"
"250","50","43.6265678405762"
"250","100","19.3249111175537"
"500","20","68.2928771972656"
"500","50","43.6265678405762"
"500","100","19.3249111175537"
"0","0","35.2738418579102"
"25","20","136.593826293945"
"25","50","104.397178649902"
"25","100","56.6738395690918"
"100","20","43.7006797790527"
"100","50","32.3483543395996"
"100","100","19.9496364593506"
"250","20","25.1822566986084"
"250","50","18.6439189910889"
"250","100","11.8505725860596"
"500","20","25.1822566986084"
"500","50","18.6439189910889"
"500","100","11.8505725860596"
"0","0","80.7689743041992"
"25","20","466.447998046875"
"25","50","338.451629638672"
"25","100","93.4546890258789"
"100","20","168.180130004883"
"100","50","126.740913391113"
"100","100","49.0028190612793"
"250","20","78.5251235961914"
"250","50","60.9137496948242"
"250","100","27.5348587036133"
"500","20","73.6211013793945"
"500","50","57.1062507629395"
"500","100","26.3630180358887"
"0","0","32.962028503418"
"25","20","53.6191368103027"
"25","50","31.5516891479492"
"25","100","15.2760047912598"
"100","20","29.9219779968262"
"100","50","18.9134693145752"
"100","100","9.02274417877197"
"250","20","29.9219779968262"
"250","50","18.9134693145752"
"250","100","9.02274417877197"
"500","20","29.9219779968262"
"500","50","18.9134693145752"
"500","100","9.02274417877197"
"0","0","160.871826171875"
"25","20","687.99462890625"
"25","50","505.922973632812"
"25","100","187.693618774414"
"100","20","245.740264892578"
"100","50","186.218704223633"
"100","100","74.4931716918945"
"250","20","142.542419433594"
"250","50","108.160064697266"
"250","100","45.0643882751465"
"500","20","142.542419433594"
"500","50","108.160064697266"
"500","100","45.0643882751465"
"0","0","41.6535453796387"
"25","20","88.0974502563477"
"25","50","64.44482421875"
"25","100","47.1866798400879"
"100","20","35.4796447753906"
"100","50","23.3033409118652"
"100","100","19.1168785095215"
"250","20","35.4796447753906"
"250","50","23.3033409118652"
"250","100","19.1168785095215"
"500","20","35.4796447753906"
