"Window Length","Window Start","HFC"
"500","100","96.9370498657227"
"0","0","148.474548339844"
"25","20","602.179626464844"
"25","50","465.058563232422"
"25","100","254.918579101562"
"100","20","377.758575439453"
"100","50","324.202728271484"
"100","100","228.993469238281"
"250","20","229.595291137695"
"250","50","203.559921264648"
"250","100","155.772857666016"
"500","20","142.37614440918"
"500","50","128.637008666992"
"500","100","102.365669250488"
"0","0","70.2535018920898"
"25","20","398.363433837891"
"25","50","295.319610595703"
"25","100","287.4150390625"
"100","20","268.856567382812"
"100","50","224.465698242188"
"100","100","189.24951171875"
"250","20","132.366134643555"
"250","50","113.07625579834"
"250","100","96.3167877197266"
"500","20","69.0387115478516"
"500","50","59.1146011352539"
"500","100","50.359188079834"
"0","0","37.2715911865234"
"25","20","242.053176879883"
"25","50","187.705673217773"
"25","100","111.485069274902"
"100","20","113.303970336914"
"100","50","92.587158203125"
"100","100","58.6459312438965"
"250","20","49.2233848571777"
"250","50","40.3633575439453"
"250","100","25.7644996643066"
"500","20","33.0823593139648"
"500","50","27.1301956176758"
"500","100","17.852689743042"
"0","0","140.5341796875"
"25","20","326.374603271484"
"25","50","240.931884765625"
"25","100","122.705055236816"
"100","20","122.155502319336"
"100","50","90.4392471313477"
"100","100","52.1667022705078"
"250","20","122.155464172363"
"250","50","90.4392471313477"
"250","100","52.1667022705078"
"500","20","122.155464172363"
"500","50","90.4392471313477"
"500","100","52.1667022705078"
"0","0","52.7217903137207"
"25","20","243.310119628906"
"25","50","187.123641967773"
"25","100","115.990417480469"
"100","20","124.627212524414"
"100","50","103.388671875"
"100","100","74.4270553588867"
"250","20","58.0812301635742"
"250","50","48.8001747131348"
"250","100","35.4943504333496"
"500","20","45.9142150878906"
"500","50","39.2699775695801"
"500","100","29.0791835784912"
"0","0","53.2862167358398"
"25","20","299.206848144531"
"25","50","211.393325805664"
"25","100","140.314193725586"
"100","20","166.843460083008"
"100","50","134.932250976562"
"100","100","104.43123626709"
"250","20","78.8053894042969"
"250","50","64.8893203735352"
"250","100","51.1826820373535"
"500","20","47.1220397949219"
"500","50","38.8612442016602"
"500","100","31.0805206298828"
"0","0","86.6584777832031"
"25","20","279.019378662109"
"25","50","242.600296020508"
"25","100","121.044548034668"
"100","20","175.941223144531"
"100","50","153.329544067383"
"100","100","95.6312484741211"
"250","20","97.0678024291992"
"250","50","86.4828491210938"
"250","100","58.0462226867676"
"500","20","83.7278060913086"
"500","50","75.4592437744141"
"500","100","54.483470916748"
"0","0","81.802001953125"
"25","20","297.207946777344"
"25","50","198.312438964844"
"25","100","112.598091125488"
"100","20","150.82063293457"
"100","50","114.50666809082"
"100","100","76.3168563842773"
"250","20","75.3332901000977"
"250","50","59.4684219360352"
"250","100","41.2554588317871"
"500","20","75.3332901000977"
"500","50","59.4684219360352"
"500","100","41.2554588317871"
"0","0","64.9531097412109"
"25","20","192.010208129883"
"25","50","177.6435546875"
"25","100","93.0959548950195"
"100","20","131.073684692383"
"100","50","117.642349243164"
"100","100","75.0765151977539"
"250","20","73.7252197265625"
"250","50","66.9568557739258"
"250","100","45.7716407775879"
"500","20","63.5512008666992"
"500","50","58.3844413757324"
"500","100","42.9460716247559"
"0","0","79.7077713012695"
"25","20","406.02099609375"
"25","50","379.760040283203"
