"Window Length","Window Start","Spectral Energy"
"250","20","0.351344138383865"
"250","50","0.333207011222839"
"250","100","0.173737376928329"
"500","20","0.239554911851883"
"500","50","0.227188467979431"
"500","100","0.126101270318031"
"0","0","0.0781449377536774"
"25","20","0.491169303655624"
"25","50","0.494325548410416"
"25","100","0.316549390554428"
"100","20","0.185575067996979"
"100","50","0.179565533995628"
"100","100","0.119066692888737"
"250","20","0.0784156993031502"
"250","50","0.0758597254753113"
"250","100","0.0502904504537582"
"500","20","0.0767111256718636"
"500","50","0.0742107182741165"
"500","100","0.0502904616296291"
"0","0","0.556144535541534"
"25","20","1.12454962730408"
"25","50","1.1366138458252"
"25","100","0.422820538282394"
"100","20","0.767983496189117"
"100","50","0.731095492839813"
"100","100","0.500099658966064"
"250","20","0.549955487251282"
"250","50","0.535953640937805"
"250","100","0.402002036571503"
"500","20","0.549955487251282"
"500","50","0.535953640937805"
"500","100","0.402002036571503"
"0","0","0.110319785773754"
"25","20","0.471680372953415"
"25","50","0.610503137111664"
"25","100","0.592732965946198"
"100","20","0.29054793715477"
"100","50","0.275035440921783"
"100","100","0.261647939682007"
"250","20","0.125630170106888"
"250","50","0.118948131799698"
"250","100","0.112394362688065"
"500","20","0.110852017998695"
"500","50","0.107054859399796"
"500","100","0.10115622729063"
"0","0","0.0542413666844368"
"25","20","0.407912254333496"
"25","50","0.429281800985336"
"25","100","0.224316343665123"
"100","20","0.182259678840637"
"100","50","0.165974378585815"
"100","100","0.0819162428379059"
"250","20","0.0787679702043533"
"250","50","0.0717334225773811"
"250","100","0.0359042473137379"
"500","20","0.0521402806043625"
"500","50","0.047484003007412"
"500","100","0.0244907066226006"
"0","0","0.047619991004467"
"25","20","0.510484516620636"
"25","50","0.464282602071762"
"25","100","0.28813573718071"
"100","20","0.212089821696281"
"100","50","0.191113620996475"
"100","100","0.117900758981705"
"250","20","0.0904734581708908"
"250","50","0.0815213099122047"
"250","100","0.0505486167967319"
"500","20","0.0462759360671043"
"500","50","0.0416981093585491"
"500","100","0.0264587569981813"
"0","0","0.0427091494202614"
"25","20","0.306827753782272"
"25","50","0.295579552650452"
"25","100","0.299120277166367"
"100","20","0.187037646770477"
"100","50","0.171352341771126"
"100","100","0.134557604789734"
"250","20","0.0837429240345955"
"250","50","0.0769561156630516"
"250","100","0.0600765012204647"
"500","20","0.042930718511343"
"500","50","0.0394433289766312"
"500","100","0.0308001693338156"
"0","0","0.102267846465111"
"25","20","0.604371786117554"
"25","50","0.607713043689728"
"25","100","0.381945371627808"
"100","20","0.44476643204689"
"100","50","0.359235644340515"
"100","100","0.255261719226837"
"250","20","0.209242165088654"
"250","50","0.167432233691216"
"250","100","0.121003970503807"
"500","20","0.107637666165829"
"500","50","0.0860739722847939"
"500","100","0.0620960630476475"
"0","0","0.073743112385273"
"25","20","0.504457652568817"
"25","50","0.528283596038818"
"25","100","0.276695191860199"
"100","20","0.224670514464378"
"100","50","0.203427091240883"
"100","100","0.101049438118935"
"250","20","0.0970968008041382"
"250","50","0.0879134684801102"
"250","100","0.0442903190851212"
"500","20","0.0716473832726479"
"500","50","0.0648713931441307"
"500","100","0.0337941460311413"
"0","0","0.138811886310577"
"25","20","0.630339920520782"
"25","50","0.573124468326569"
"25","100","0.355031579732895"
"100","20","0.261859506368637"
"100","50","0.23596353828907"
"100","100","0.145327538251877"
"250","20","0.135833784937859"
"250","50","0.12239196896553"
"250","100","0.0800790041685104"
"500","20","0.135833784937859"
"500","50","0.12239196896553"
"500","100","0.0800790041685104"
"0","0","0.0656222030520439"
"25","20","0.378896623849869"
"25","50","0.365947395563126"
"25","100","0.369234681129456"
"100","20","0.230924174189568"
"100","50","0.211494669318199"
"100","100","0.166084840893745"
"250","20","0.103388540446758"
"250","50","0.0949830040335655"
"250","100","0.0741509571671486"
"500","20","0.0647780522704124"
"500","50","0.0603368990123272"
"500","100","0.0477890893816948"
"0","0","0.214266300201416"
"25","20","0.582611262798309"
"25","50","0.753691136837006"
"25","100","0.731580555438995"
"100","20","0.358626216650009"
"100","50","0.33948165178299"
"100","100","0.322944164276123"
"250","20","0.218046769499779"
"250","50","0.206450134515762"
"250","100","0.201356053352356"
"500","20","0.218046769499779"
"500","50","0.206450134515762"
