Index,Drum Machine,Type,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
440,Alesis SR-16,sn,1.081504702,0.878153726,0.131461071,1.036342633,0.320631145,-0.086873105,-0.456811799
441,Alesis SR-16,sn,0.586206897,0.425988003,0.02621357,0.556007416,-0.285276057,-0.542307447,0.265014501
442,Alesis SR-16,sn,-0.244514107,-0.222871972,-0.100234231,-0.259532298,0.545025833,0.105003958,0.067164123
443,Alesis SR-16,sn,0.695924765,1.088993404,0.405393501,0.686064943,0.38216811,0.529013656,-0.460273151
444,Alesis SR-16,sn,0.275862069,-0.130030416,-0.341680432,0.228776533,0.907334652,-0.06532636,-0.333511353
445,Alesis SR-16,sn,3.238244514,0.540511157,-0.64198032,2.861078314,-0.409224298,-0.678726597,0.067107772
446,Alesis SR-16,sn,0.31661442,-0.384928254,-0.706889398,0.279017519,0.081317123,-0.134964505,-0.093728162
447,Alesis SR-16,sn,0.357366771,0.227872146,-0.024119655,0.325824306,0.521491067,-0.366484567,-0.590415028
448,Alesis SR-16,sn,0.786833856,0.653479122,0.101775969,0.732669416,0.327568296,-0.794892223,-0.677886217
449,Alesis SR-16,sn,0.780564263,0.421402128,-0.062203411,0.732340046,0.288856646,-0.195538023,-0.45058697
450,Alesis SR-16,sn,1.200626959,0.661276384,-0.048801903,1.123896536,0.112113631,-0.48198851,-0.403835154
451,Alesis SR-16,sn,0.103448276,0.542147632,0.372060415,0.093109962,0.352080502,0.261416539,0.049596725
452,Alesis SR-16,sn,0.695924765,0.780086966,0.22350452,0.658027107,-0.042952413,-0.275218822,-0.445659473
453,Alesis SR-16,sn,0.34169279,0.710426214,0.348961257,0.335621712,-0.011988479,0.134619295,-0.887650249
454,Alesis SR-16,sn,0.692789969,0.963882573,0.334922606,0.660043131,0.654831599,-0.234163911,-0.761005755
455,Alesis SR-16,sn,-0.181818182,0.568298954,0.5934038,-0.18327688,0.368561799,0.137061003,0.076224178
456,Alesis SR-16,sn,-0.799373041,-0.052472786,0.808427463,-0.810402319,0.727823445,1.010509532,-0.295726415
457,Alesis SR-16,sn,-0.310344828,-0.430818433,-0.342460753,-0.327500415,0.048642302,-0.612904431,0.20299034
458,Alesis SR-16,sn,0.75862069,0.678360153,0.131170248,0.716443297,0.011277197,-0.219210739,-0.138634696
459,Alesis SR-16,sn,0.169278997,0.403705129,0.227473661,0.151122973,-0.564376803,-0.156976334,0.657383115
460,Alesis SR-16,sn,0.460815047,1.321552933,0.63476076,0.467959392,0.054782443,0.171220699,-0.936639578
461,Alesis SR-16,sn,-0.805642633,-0.342295286,0.451931271,-0.834074322,1.048843111,0.04404698,-0.07070373
462,Alesis SR-16,sn,-0.275862069,-0.566946282,-0.620485714,-0.293254897,-0.021155278,-0.108020053,-0.200957118
463,Alesis SR-16,sn,-0.404388715,-0.562963028,-0.491388098,-0.41978056,-0.029314412,-0.209212294,-0.189358829
464,Alesis SR-16,sn,-0.084639498,0.611864368,0.549383115,-0.094700929,-0.107531423,-0.318791107,0.404347309
465,Alesis SR-16,sn,-0.470219436,-0.396541866,-0.127058223,-0.48907657,0.355870647,-0.707101796,0.001332412
466,Alesis SR-16,sn,0.373040752,1.225972961,0.628554187,0.38369774,0.171259568,-0.423717091,-0.452316297
467,Alesis SR-16,sn,0.26645768,0.689847553,0.376807811,0.260045728,0.193989082,0.075621194,0.049864509
468,Alesis SR-16,sn,0.87460815,1.50132529,0.536922838,0.874434011,0.35083727,-0.116788611,-0.914559137
469,Alesis SR-16,sn,1.94984326,0.566165998,-0.339900273,1.828787367,-0.255401852,-0.189736099,-0.209503589
470,Alesis SR-16,sn,0.184952978,-0.158633462,-0.322392224,0.138269635,0.959316297,-0.26847494,-0.065580197
471,Alesis SR-16,ki,-0.73955774,-0.128237246,0.573989911,-0.75715959,0.560916461,-0.228201229,-0.053300673
472,Alesis SR-16,ki,-0.275184275,0.938472017,0.752332625,-0.285872557,0.996440577,-0.265926589,-0.49600547
473,Alesis SR-16,ki,-0.636363636,-0.2812173,0.227041272,-0.654001863,0.887872033,-0.256253571,-1.034922006
474,Alesis SR-16,ki,-0.12039312,0.676052714,0.511728447,-0.129952693,0.985274858,-0.265569574,-0.954534487
475,Alesis SR-16,ki,-0.285012285,-0.433215352,-0.375346841,-0.290473664,0.2798864,-0.106773267,0.082801662
476,Alesis SR-16,ki,0.911547912,-0.029214599,-0.424201045,0.870128055,0.73249814,-0.247850605,-0.4560959
477,Alesis SR-16,ki,-0.316953317,-0.133506235,0.051018215,-0.32836462,0.672773668,-0.178484393,0.162326069
478,Alesis SR-16,ki,2.417690418,-0.263848287,-1.015087619,2.199735496,0.699364357,-0.181280973,-1.429407827
479,Alesis SR-16,ki,1.245700246,-0.25911848,-0.767802503,1.179440599,0.455907769,-0.131350642,-0.549690052
480,Alesis SR-16,ki,0.076167076,-0.119767558,-0.188478815,0.079627184,1.160273124,-0.150087802,-0.827240158
481,Alesis SR-16,ki,-0.56019656,0.186559235,0.587742763,-0.584672647,0.229594268,0.02942258,0.23663554
482,Alesis SR-16,ki,1.034398034,0.960609543,0.17707075,0.982201923,0.99561726,-0.252590349,-1.036127286
483,Alesis SR-16,ki,0.963144963,0.418648109,-0.093327302,0.943937726,0.594194189,-0.259879241,-0.536748425
484,Alesis SR-16,sn,-0.006269592,0.556480035,0.449431645,-0.005363103,0.280398382,0.132074691,0.13588479
485,Alesis SR-16,sn,-0.065830721,-0.549524818,-0.757701671,-0.08272512,-0.117250504,-0.008870813,-0.093178069
486,Alesis SR-16,sn,0.865203762,0.237981771,-0.250503267,0.810637979,0.455034845,-0.430600965,-0.725204872
487,Alesis SR-16,sn,0.435736677,0.953776435,0.446737904,0.439581774,0.117210755,-0.42287771,-0.584345599
488,Alesis SR-16,sn,0.956112853,0.473243555,-0.096165479,0.926763511,0.139667882,0.590707055,-0.706409667
489,Alesis SR-16,sn,0.141065831,-0.412855113,-0.653600038,0.123741505,-0.049447005,-0.695887397,0.169256371
490,Alesis SR-16,sn,-0.793103448,-0.12105172,0.709418365,-0.796081644,0.754621718,0.822651133,-0.331602737
491,Alesis SR-16,sn,0.514106583,0.197840322,-0.132801605,0.501934456,-0.113878006,-0.042638529,-0.804471542
492,Alesis SR-16,sn,0.605015674,-0.402459344,-0.880609822,0.56954256,0.649276713,-0.271329195,-0.57148236
493,Alesis SR-16,sn,1.028213166,0.433602771,-0.153279664,0.965342374,-0.379914832,-0.272710352,0.09822168
494,Alesis SR-16,sn,0.310344828,0.508048629,0.222071876,0.292639124,-0.307653319,-0.02325389,0.259838506
495,Alesis SR-16,sn,0.26645768,0.418676364,0.178940634,0.254669181,-0.735541119,-0.513358469,0.824125775
503,Boss DR-110 Dr. Rhythm,ki,-0.191646192,-0.483285612,-0.533293057,-0.182761425,-0.285281943,0.195283687,0.496483407
504,Boss DR-110 Dr. Rhythm,sn,0.288401254,-0.535720971,-0.953189728,0.252995048,0.073555486,0.15883635,0.11498525
505,Boss DR-110 Dr. Rhythm,ki,-0.191646192,-0.483285612,-0.533293057,-0.182761425,-0.285281943,0.195283687,0.496483407
506,Boss DR-110 Dr. Rhythm,ki,-0.71990172,-0.473719156,0.068404275,-0.734971507,-0.283193764,0.11542189,0.610646789
507,Boss DR-110 Dr. Rhythm,sn,0.288401254,-0.535720971,-0.953189728,0.252995048,0.073555486,0.15883635,0.11498525
508,Boss DR-110 Dr. Rhythm,ki,-0.235872236,0.03814708,0.155649853,-0.220214703,0.007280159,-0.233468266,0.196419643
509,Boss DR-110 Dr. Rhythm,sn,-0.394984326,0.466706919,0.70364472,-0.32136127,0.592572178,-0.445179199,0.127857617
510,Boss DR-110 Dr. Rhythm,ki,-0.471744472,-0.498370712,-0.327210719,-0.458085468,-0.276263284,0.190666833,0.554720518
