Index,Drum Machine,Type,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
759,Boss DR-660,sn,0.058266212,0.600897322,0.10712578,0.647388603,0.70625989,0.56879608,0.00371647,0.281428864
760,Boss DR-660,sn,0.038102114,0.514239204,0.115074809,0.377399718,0.281667182,0.638012593,0.001920568,0.669749045
761,Boss DR-660,sn,0.139436059,0.639837215,0.27682688,0.443258261,0.531930914,0.257435417,0.007635656,0.099020914
762,Boss DR-660,sn,0.078740814,0.576020773,0.198244846,0.355181007,0.378594181,0.376575127,0.003609432,0.294411773
763,Boss DR-660,sn,0.069214891,0.55249836,0.20265815,0.463371559,0.493419768,0.341506983,0.004198509,0.144590276
764,Boss DR-660,sn,0.019965378,0.455709102,0.07474019,0.585121439,0.526802338,0.654513074,0.002029595,0.399784925
765,Boss DR-660,sn,0.031370369,0.49231804,0.104551621,0.389202593,0.303423857,0.595500669,0.005431508,0.647565453
766,Boss DR-660,sn,0.062772042,0.574800988,0.145515619,0.535469884,0.573826249,0.435320513,0.004320822,0.193739753
767,Boss DR-660,sn,0.027296252,0.430247955,0.136553301,0.593405813,0.647175428,0.549995107,0.004344541,0.310756917
768,Boss DR-660,sn,0.017705977,0.548160855,0.028339595,0.775105062,0.861272921,0.524039478,0.002862108,0.693339237
769,Boss DR-660,sn,0.084373501,0.707878112,0.078779456,0.662447764,0.736923496,0.545704146,0.006596142,0.509614407
770,Boss DR-660,sn,0.018783196,0.791391771,0,0.425206016,0.467353329,0.097482149,0.006303069,1
771,Boss DR-660,sn,0.045642963,0.523500507,0.137510458,0.498818208,0.554800135,0.389793947,0.003980951,0.280952658
772,Boss DR-660,sn,0.113724129,0.648191808,0.200403749,0.423552071,0.459851135,0.447304229,0.004379531,0.231811519
773,Boss DR-660,sn,0.078037053,0.56354724,0.215858603,0.491026577,0.453836316,0.491884506,0.002873223,0.178262563
774,Boss DR-660,sn,0.081328237,0.604801193,0.169762689,0.500207839,0.477859823,0.511377318,0.002977109,0.185286311
