Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Akai XR-10,sn,0.436099773,43.14090347,14.57671261,-2.700766326,0.211820215,2583.202637,1.255053759,0.404403865
Akai XR-10,sn,0.30185941,34.85478592,12.52466679,-2.49064158,0.154212996,2654.821777,1.326231241,0.177929804
Akai XR-10,ki,0.254693878,38.54460144,6.355924129,-1.100523321,0.129828036,2439.163818,2.794339657,0.600276828
Akai XR-10,ki,0.263401361,58.05737686,7.733375072,1.408986772,0.134693772,1329.951782,19.74277306,0.871733665
Akai XR-10,ki,0.150204082,45.12809372,7.763803959,2.21432903,0.076904044,2955.305908,1.745329499,0.577512741
Akai XR-10,ki,0.199546485,53.09844971,5.148415565,2.035613054,0.100581542,3077.932373,1.843811393,0.760164738
Akai XR-10,ki,0.318548753,47.13473892,11.75609875,-0.767955431,0.157701761,3362.882568,2.220729828,0.549290299
Akai XR-10,ki,0.209705215,22.8957386,3.095138311,-3.632682901,0.105148062,372.7513733,8.019117355,0.953038812
Akai XR-10,ki,0.177052154,45.50406265,10.49249268,1.554012718,0.09063258,3400.654785,2.418726206,0.532906413
Akai XR-10,ki,0.261950113,39.88673782,3.105969906,-1.000659976,0.131290793,2012.173462,3.243115187,0.808546066
Akai XR-10,ki,0.213333333,46.80633545,6.534568787,0.927434558,0.108241066,2698.974854,1.579599977,0.669707656
Akai XR-10,ki,0.357732426,46.49127197,11.24291706,-1.361154636,0.176880613,3334.788818,1.785447598,0.269360363
Akai XR-10,sn,0.231473923,19.45483971,10.28401947,-5.117237793,0.117532261,3636.014893,2.778267622,0.258280009
Akai XR-10,sn,0.303310658,28.10511208,10.50749588,-3.906327268,0.156501129,2757.536377,1.690694332,0.15458174
Akai XR-10,sn,0.382403628,41.99287033,16.25091934,-2.310155462,0.19134289,2730.303467,1.508682013,0.267836213
Akai XR-10,sn,0.305487528,91.62565613,27.32830429,3.722465823,0.157837123,2151.998291,-0.032277502,0.727283061
Akai XR-10,sn,0.449886621,71.67304993,42.18846512,0.44941145,0.226208657,3489.827881,2.558862686,0.291004926
Akai XR-10,sn,0.62984127,33.40401077,12.04500675,-5.960484654,0.300671458,2793.914307,2.543134689,0.292595118
Akai XR-10,sn,0.433922902,16.87779427,6.764658928,-8.767417285,0.211897984,2650.838135,3.877856255,0.429548323
