Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1000,E-MU SP-12,ki,0.296054422,0.30877006,0.374996379,0.729851764,-0.184243578,0.899151806,-0.39348629,-0.379386606
1001,E-MU SP-12,ki,0.116825397,0.102732501,-0.571645242,0.149246166,-0.86319253,-0.26110595,-0.392798149,1.071429832
1002,E-MU SP-12,ki,0.131337868,0.197057817,-0.598817905,-0.024543159,-0.814209154,-0.115507553,-0.376883684,0.584730379
1003,E-MU SP-12,ki,0.095056689,0.578244912,-0.144572825,1.132813249,-0.934210875,-0.560925619,-0.266872828,1.045568964
1004,E-MU SP-12,sn,0.288798186,-0.324808044,0.174931642,0.558491021,-0.248741422,0.929715959,-0.391986327,-0.129454535
1005,E-MU SP-12,sn,0.229297052,-0.287234081,1.039290788,1.430970271,-0.45726515,1.287013436,-0.363817253,-1.131660295
1006,E-MU SP-12,sn,0.305487528,-0.104114025,1.230336863,1.297642768,-0.187233892,1.016470622,-0.36167338,-1.834949152
1007,E-MU SP-12,sn,0.169795918,-0.237097811,0.305467074,1.140858225,-0.665475763,0.622774988,-0.358045428,0.440495656
1008,E-MU SP-12,sn,0.298231293,0.679745067,1.757940952,1.580681718,-0.212345315,-0.165985501,-0.386122266,0.622558976
1009,E-MU SP-12,sn,0.219863946,-0.559145084,0.41827468,1.021147444,-0.489650556,1.075674363,-0.37176004,-1.403451954
1010,E-MU SP-12,sn,0.176326531,-0.687216196,-0.209864272,0.507044004,-0.656165891,1.613428948,-0.376392135,-0.941038065
1011,E-MU SP-12,sn,0.055873016,-0.630801078,0.273006617,2.042379221,-1.07421146,1.697026501,-0.372861462,-0.659711481
1012,E-MU SP-12,sn,0.270657596,-0.459741236,0.89784771,1.196023343,-0.320714836,1.662066312,-0.373090576,-1.251137823
1013,E-MU SP-12,sn,0.11755102,-0.700862463,-0.276721454,0.750378714,-0.867202694,0.800342779,-0.38034221,-1.711687642
1014,E-MU SP-12,sn,0.290249433,-0.324877262,0.17482575,0.552085061,-0.241344426,0.929704638,-0.393314492,-0.129435554
